Beginning,End
2017-08-28 15:57:23,2017-08-28 21:04:01
2017-08-28 22:52:19,2017-08-29 06:13:55
2017-08-29 06:47:37,2017-08-29 19:02:34
2017-08-29 22:08:09,2017-08-30 06:13:35
2017-08-30 06:41:13,2017-08-30 19:40:20
2017-08-30 22:39:47,2017-08-31 21:04:25
2017-08-31 22:55:35,2017-09-01 06:13:58
2017-09-01 06:46:27,2017-09-01 19:42:23
2017-09-02 09:23:27,2017-09-02 20:59:45
