EDA,Time
0.030726,2017-08-31 22:56:39.000
0.062732,2017-08-31 22:56:39.250
0.064013,2017-08-31 22:56:39.500
0.064013,2017-08-31 22:56:39.750
0.058892,2017-08-31 22:56:40.000
0.061452,2017-08-31 22:56:40.250
0.061452,2017-08-31 22:56:40.500
0.061452,2017-08-31 22:56:40.750
0.065293,2017-08-31 22:56:41.000
0.048650,2017-08-31 22:56:41.250
0.056331,2017-08-31 22:56:41.500
0.051210,2017-08-31 22:56:41.750
0.051210,2017-08-31 22:56:42.000
0.028166,2017-08-31 22:56:42.250
0.043529,2017-08-31 22:56:42.500
0.039688,2017-08-31 22:56:42.750
0.053771,2017-08-31 22:56:43.000
0.049930,2017-08-31 22:56:43.250
0.046089,2017-08-31 22:56:43.500
0.042248,2017-08-31 22:56:43.750
0.047369,2017-08-31 22:56:44.000
0.048650,2017-08-31 22:56:44.250
0.047369,2017-08-31 22:56:44.500
0.051210,2017-08-31 22:56:44.750
0.053771,2017-08-31 22:56:45.000
0.053771,2017-08-31 22:56:45.250
0.061452,2017-08-31 22:56:45.500
0.058892,2017-08-31 22:56:45.750
0.056331,2017-08-31 22:56:46.000
0.055051,2017-08-31 22:56:46.250
0.061452,2017-08-31 22:56:46.500
0.061452,2017-08-31 22:56:46.750
0.060172,2017-08-31 22:56:47.000
0.061452,2017-08-31 22:56:47.250
0.060172,2017-08-31 22:56:47.500
0.060172,2017-08-31 22:56:47.750
0.062732,2017-08-31 22:56:48.000
0.060172,2017-08-31 22:56:48.250
0.060172,2017-08-31 22:56:48.500
0.060172,2017-08-31 22:56:48.750
0.058892,2017-08-31 22:56:49.000
0.057611,2017-08-31 22:56:49.250
0.064013,2017-08-31 22:56:49.500
0.061452,2017-08-31 22:56:49.750
0.062732,2017-08-31 22:56:50.000
0.066573,2017-08-31 22:56:50.250
0.066573,2017-08-31 22:56:50.500
0.069134,2017-08-31 22:56:50.750
0.071694,2017-08-31 22:56:51.000
0.070414,2017-08-31 22:56:51.250
0.071694,2017-08-31 22:56:51.500
0.074255,2017-08-31 22:56:51.750
0.076815,2017-08-31 22:56:52.000
0.074255,2017-08-31 22:56:52.250
0.072974,2017-08-31 22:56:52.500
0.075535,2017-08-31 22:56:52.750
0.075535,2017-08-31 22:56:53.000
0.075535,2017-08-31 22:56:53.250
0.076815,2017-08-31 22:56:53.500
0.074255,2017-08-31 22:56:53.750
0.074255,2017-08-31 22:56:54.000
0.076815,2017-08-31 22:56:54.250
0.076815,2017-08-31 22:56:54.500
0.076815,2017-08-31 22:56:54.750
0.079376,2017-08-31 22:56:55.000
0.075535,2017-08-31 22:56:55.250
0.076815,2017-08-31 22:56:55.500
0.075535,2017-08-31 22:56:55.750
0.075535,2017-08-31 22:56:56.000
0.078095,2017-08-31 22:56:56.250
0.076815,2017-08-31 22:56:56.500
0.074255,2017-08-31 22:56:56.750
0.075535,2017-08-31 22:56:57.000
0.076815,2017-08-31 22:56:57.250
0.075535,2017-08-31 22:56:57.500
0.076815,2017-08-31 22:56:57.750
0.075535,2017-08-31 22:56:58.000
0.074255,2017-08-31 22:56:58.250
0.075535,2017-08-31 22:56:58.500
0.075535,2017-08-31 22:56:58.750
0.075535,2017-08-31 22:56:59.000
0.074255,2017-08-31 22:56:59.250
0.075535,2017-08-31 22:56:59.500
0.072974,2017-08-31 22:56:59.750
0.074255,2017-08-31 22:57:00.000
0.072974,2017-08-31 22:57:00.250
0.074255,2017-08-31 22:57:00.500
0.075535,2017-08-31 22:57:00.750
0.076815,2017-08-31 22:57:01.000
0.076815,2017-08-31 22:57:01.250
0.078095,2017-08-31 22:57:01.500
0.078095,2017-08-31 22:57:01.750
0.076815,2017-08-31 22:57:02.000
0.078095,2017-08-31 22:57:02.250
0.075535,2017-08-31 22:57:02.500
0.076815,2017-08-31 22:57:02.750
0.075535,2017-08-31 22:57:03.000
0.079376,2017-08-31 22:57:03.250
0.076815,2017-08-31 22:57:03.500
0.078095,2017-08-31 22:57:03.750
0.076815,2017-08-31 22:57:04.000
0.076815,2017-08-31 22:57:04.250
0.078095,2017-08-31 22:57:04.500
0.076815,2017-08-31 22:57:04.750
0.076815,2017-08-31 22:57:05.000
0.076815,2017-08-31 22:57:05.250
0.076815,2017-08-31 22:57:05.500
0.076815,2017-08-31 22:57:05.750
0.078095,2017-08-31 22:57:06.000
0.078095,2017-08-31 22:57:06.250
0.076815,2017-08-31 22:57:06.500
0.079376,2017-08-31 22:57:06.750
0.078095,2017-08-31 22:57:07.000
0.078095,2017-08-31 22:57:07.250
0.076815,2017-08-31 22:57:07.500
0.076815,2017-08-31 22:57:07.750
0.078095,2017-08-31 22:57:08.000
0.078095,2017-08-31 22:57:08.250
0.076815,2017-08-31 22:57:08.500
0.074255,2017-08-31 22:57:08.750
0.075535,2017-08-31 22:57:09.000
0.076815,2017-08-31 22:57:09.250
0.075535,2017-08-31 22:57:09.500
0.075535,2017-08-31 22:57:09.750
0.075535,2017-08-31 22:57:10.000
0.076815,2017-08-31 22:57:10.250
0.079376,2017-08-31 22:57:10.500
0.078095,2017-08-31 22:57:10.750
0.078095,2017-08-31 22:57:11.000
0.076815,2017-08-31 22:57:11.250
0.079376,2017-08-31 22:57:11.500
0.078095,2017-08-31 22:57:11.750
0.079376,2017-08-31 22:57:12.000
0.078095,2017-08-31 22:57:12.250
0.078095,2017-08-31 22:57:12.500
0.078095,2017-08-31 22:57:12.750
0.078095,2017-08-31 22:57:13.000
0.078095,2017-08-31 22:57:13.250
0.075535,2017-08-31 22:57:13.500
0.075535,2017-08-31 22:57:13.750
0.076815,2017-08-31 22:57:14.000
0.079376,2017-08-31 22:57:14.250
0.079376,2017-08-31 22:57:14.500
0.078095,2017-08-31 22:57:14.750
0.078095,2017-08-31 22:57:15.000
0.078095,2017-08-31 22:57:15.250
0.078095,2017-08-31 22:57:15.500
0.078095,2017-08-31 22:57:15.750
0.078095,2017-08-31 22:57:16.000
0.075535,2017-08-31 22:57:16.250
0.079376,2017-08-31 22:57:16.500
0.078095,2017-08-31 22:57:16.750
0.076815,2017-08-31 22:57:17.000
0.076815,2017-08-31 22:57:17.250
0.079376,2017-08-31 22:57:17.500
0.074255,2017-08-31 22:57:17.750
0.074255,2017-08-31 22:57:18.000
0.072974,2017-08-31 22:57:18.250
0.075535,2017-08-31 22:57:18.500
0.075535,2017-08-31 22:57:18.750
0.076815,2017-08-31 22:57:19.000
0.075535,2017-08-31 22:57:19.250
0.076815,2017-08-31 22:57:19.500
0.078095,2017-08-31 22:57:19.750
0.075535,2017-08-31 22:57:20.000
0.078095,2017-08-31 22:57:20.250
0.075535,2017-08-31 22:57:20.500
0.076815,2017-08-31 22:57:20.750
0.078095,2017-08-31 22:57:21.000
0.076815,2017-08-31 22:57:21.250
0.076815,2017-08-31 22:57:21.500
0.076815,2017-08-31 22:57:21.750
0.078095,2017-08-31 22:57:22.000
0.076815,2017-08-31 22:57:22.250
0.078095,2017-08-31 22:57:22.500
0.078095,2017-08-31 22:57:22.750
0.079376,2017-08-31 22:57:23.000
0.076815,2017-08-31 22:57:23.250
0.078095,2017-08-31 22:57:23.500
0.076815,2017-08-31 22:57:23.750
0.078095,2017-08-31 22:57:24.000
0.079376,2017-08-31 22:57:24.250
0.076815,2017-08-31 22:57:24.500
0.078095,2017-08-31 22:57:24.750
0.079376,2017-08-31 22:57:25.000
0.079376,2017-08-31 22:57:25.250
0.078095,2017-08-31 22:57:25.500
0.078095,2017-08-31 22:57:25.750
0.075535,2017-08-31 22:57:26.000
0.078095,2017-08-31 22:57:26.250
0.078095,2017-08-31 22:57:26.500
0.078095,2017-08-31 22:57:26.750
0.080656,2017-08-31 22:57:27.000
0.078095,2017-08-31 22:57:27.250
0.079376,2017-08-31 22:57:27.500
0.078095,2017-08-31 22:57:27.750
0.080656,2017-08-31 22:57:28.000
0.078095,2017-08-31 22:57:28.250
0.080656,2017-08-31 22:57:28.500
0.079376,2017-08-31 22:57:28.750
0.079376,2017-08-31 22:57:29.000
0.080656,2017-08-31 22:57:29.250
0.079376,2017-08-31 22:57:29.500
0.078095,2017-08-31 22:57:29.750
0.080656,2017-08-31 22:57:30.000
0.080656,2017-08-31 22:57:30.250
0.080656,2017-08-31 22:57:30.500
0.080656,2017-08-31 22:57:30.750
0.080656,2017-08-31 22:57:31.000
0.080656,2017-08-31 22:57:31.250
0.079376,2017-08-31 22:57:31.500
0.080656,2017-08-31 22:57:31.750
0.080656,2017-08-31 22:57:32.000
0.080656,2017-08-31 22:57:32.250
0.081936,2017-08-31 22:57:32.500
0.080656,2017-08-31 22:57:32.750
0.080656,2017-08-31 22:57:33.000
0.080656,2017-08-31 22:57:33.250
0.080656,2017-08-31 22:57:33.500
0.079376,2017-08-31 22:57:33.750
0.080656,2017-08-31 22:57:34.000
0.078095,2017-08-31 22:57:34.250
0.078095,2017-08-31 22:57:34.500
0.078095,2017-08-31 22:57:34.750
0.079376,2017-08-31 22:57:35.000
0.080656,2017-08-31 22:57:35.250
0.080656,2017-08-31 22:57:35.500
0.079376,2017-08-31 22:57:35.750
0.080656,2017-08-31 22:57:36.000
0.081936,2017-08-31 22:57:36.250
0.080656,2017-08-31 22:57:36.500
0.081936,2017-08-31 22:57:36.750
0.074255,2017-08-31 22:57:37.000
0.072974,2017-08-31 22:57:37.250
0.067853,2017-08-31 22:57:37.500
0.071694,2017-08-31 22:57:37.750
0.072974,2017-08-31 22:57:38.000
0.064013,2017-08-31 22:57:38.250
0.064013,2017-08-31 22:57:38.500
0.057611,2017-08-31 22:57:38.750
0.057611,2017-08-31 22:57:39.000
0.049930,2017-08-31 22:57:39.250
0.051210,2017-08-31 22:57:39.500
0.066573,2017-08-31 22:57:39.750
0.067853,2017-08-31 22:57:40.000
0.066573,2017-08-31 22:57:40.250
0.069134,2017-08-31 22:57:40.500
0.069134,2017-08-31 22:57:40.750
0.067853,2017-08-31 22:57:41.000
0.070414,2017-08-31 22:57:41.250
0.069134,2017-08-31 22:57:41.500
0.067853,2017-08-31 22:57:41.750
0.069134,2017-08-31 22:57:42.000
0.069134,2017-08-31 22:57:42.250
0.070414,2017-08-31 22:57:42.500
0.069134,2017-08-31 22:57:42.750
0.067853,2017-08-31 22:57:43.000
0.069134,2017-08-31 22:57:43.250
0.070414,2017-08-31 22:57:43.500
0.069134,2017-08-31 22:57:43.750
0.069134,2017-08-31 22:57:44.000
0.067853,2017-08-31 22:57:44.250
0.070414,2017-08-31 22:57:44.500
0.069134,2017-08-31 22:57:44.750
0.069134,2017-08-31 22:57:45.000
0.070414,2017-08-31 22:57:45.250
0.070414,2017-08-31 22:57:45.500
0.070414,2017-08-31 22:57:45.750
0.069134,2017-08-31 22:57:46.000
0.069134,2017-08-31 22:57:46.250
0.069134,2017-08-31 22:57:46.500
0.069134,2017-08-31 22:57:46.750
0.069134,2017-08-31 22:57:47.000
0.070414,2017-08-31 22:57:47.250
0.071694,2017-08-31 22:57:47.500
0.069134,2017-08-31 22:57:47.750
0.071694,2017-08-31 22:57:48.000
0.071694,2017-08-31 22:57:48.250
0.070414,2017-08-31 22:57:48.500
0.070414,2017-08-31 22:57:48.750
0.071694,2017-08-31 22:57:49.000
0.069134,2017-08-31 22:57:49.250
0.072974,2017-08-31 22:57:49.500
0.070414,2017-08-31 22:57:49.750
0.070414,2017-08-31 22:57:50.000
0.070414,2017-08-31 22:57:50.250
0.071694,2017-08-31 22:57:50.500
0.071694,2017-08-31 22:57:50.750
0.071694,2017-08-31 22:57:51.000
0.071694,2017-08-31 22:57:51.250
0.070414,2017-08-31 22:57:51.500
0.071694,2017-08-31 22:57:51.750
0.070414,2017-08-31 22:57:52.000
0.070414,2017-08-31 22:57:52.250
0.070414,2017-08-31 22:57:52.500
0.070414,2017-08-31 22:57:52.750
0.070414,2017-08-31 22:57:53.000
0.071694,2017-08-31 22:57:53.250
0.071694,2017-08-31 22:57:53.500
0.070414,2017-08-31 22:57:53.750
0.072974,2017-08-31 22:57:54.000
0.070414,2017-08-31 22:57:54.250
0.070414,2017-08-31 22:57:54.500
0.069134,2017-08-31 22:57:54.750
0.070414,2017-08-31 22:57:55.000
0.069134,2017-08-31 22:57:55.250
0.070414,2017-08-31 22:57:55.500
0.071694,2017-08-31 22:57:55.750
0.070414,2017-08-31 22:57:56.000
0.072974,2017-08-31 22:57:56.250
0.072974,2017-08-31 22:57:56.500
0.071694,2017-08-31 22:57:56.750
0.071694,2017-08-31 22:57:57.000
0.071694,2017-08-31 22:57:57.250
0.070414,2017-08-31 22:57:57.500
0.071694,2017-08-31 22:57:57.750
0.071694,2017-08-31 22:57:58.000
0.070414,2017-08-31 22:57:58.250
0.070414,2017-08-31 22:57:58.500
0.071694,2017-08-31 22:57:58.750
0.071694,2017-08-31 22:57:59.000
0.071694,2017-08-31 22:57:59.250
0.070414,2017-08-31 22:57:59.500
0.071694,2017-08-31 22:57:59.750
0.071694,2017-08-31 22:58:00.000
0.071694,2017-08-31 22:58:00.250
0.071694,2017-08-31 22:58:00.500
0.070414,2017-08-31 22:58:00.750
0.071694,2017-08-31 22:58:01.000
0.070414,2017-08-31 22:58:01.250
0.072974,2017-08-31 22:58:01.500
0.071694,2017-08-31 22:58:01.750
0.071694,2017-08-31 22:58:02.000
0.072974,2017-08-31 22:58:02.250
0.070414,2017-08-31 22:58:02.500
0.071694,2017-08-31 22:58:02.750
0.070414,2017-08-31 22:58:03.000
0.070414,2017-08-31 22:58:03.250
0.070414,2017-08-31 22:58:03.500
0.071694,2017-08-31 22:58:03.750
0.072974,2017-08-31 22:58:04.000
0.070414,2017-08-31 22:58:04.250
0.070414,2017-08-31 22:58:04.500
0.071694,2017-08-31 22:58:04.750
0.071694,2017-08-31 22:58:05.000
0.071694,2017-08-31 22:58:05.250
0.075535,2017-08-31 22:58:05.500
0.071694,2017-08-31 22:58:05.750
0.074255,2017-08-31 22:58:06.000
0.064013,2017-08-31 22:58:06.250
0.060172,2017-08-31 22:58:06.500
0.067853,2017-08-31 22:58:06.750
0.072974,2017-08-31 22:58:07.000
0.078095,2017-08-31 22:58:07.250
0.081936,2017-08-31 22:58:07.500
0.078095,2017-08-31 22:58:07.750
0.076815,2017-08-31 22:58:08.000
0.075535,2017-08-31 22:58:08.250
0.074255,2017-08-31 22:58:08.500
0.071694,2017-08-31 22:58:08.750
0.070414,2017-08-31 22:58:09.000
0.072974,2017-08-31 22:58:09.250
0.070414,2017-08-31 22:58:09.500
0.071694,2017-08-31 22:58:09.750
0.071694,2017-08-31 22:58:10.000
0.070414,2017-08-31 22:58:10.250
0.071694,2017-08-31 22:58:10.500
0.069134,2017-08-31 22:58:10.750
0.070414,2017-08-31 22:58:11.000
0.069134,2017-08-31 22:58:11.250
0.070414,2017-08-31 22:58:11.500
0.069134,2017-08-31 22:58:11.750
0.069134,2017-08-31 22:58:12.000
0.070414,2017-08-31 22:58:12.250
0.067853,2017-08-31 22:58:12.500
0.066573,2017-08-31 22:58:12.750
0.074255,2017-08-31 22:58:13.000
0.071694,2017-08-31 22:58:13.250
0.071694,2017-08-31 22:58:13.500
0.072974,2017-08-31 22:58:13.750
0.070414,2017-08-31 22:58:14.000
0.072974,2017-08-31 22:58:14.250
0.072974,2017-08-31 22:58:14.500
0.070414,2017-08-31 22:58:14.750
0.071694,2017-08-31 22:58:15.000
0.074255,2017-08-31 22:58:15.250
0.072974,2017-08-31 22:58:15.500
0.072974,2017-08-31 22:58:15.750
0.071694,2017-08-31 22:58:16.000
0.071694,2017-08-31 22:58:16.250
0.072974,2017-08-31 22:58:16.500
0.071694,2017-08-31 22:58:16.750
0.071694,2017-08-31 22:58:17.000
0.070414,2017-08-31 22:58:17.250
0.072974,2017-08-31 22:58:17.500
0.071694,2017-08-31 22:58:17.750
0.074255,2017-08-31 22:58:18.000
0.071694,2017-08-31 22:58:18.250
0.071694,2017-08-31 22:58:18.500
0.071694,2017-08-31 22:58:18.750
0.071694,2017-08-31 22:58:19.000
0.071694,2017-08-31 22:58:19.250
0.070414,2017-08-31 22:58:19.500
